Title,Video url,Thumbnail url,Channel name,Duration,Uploaded Time
Tsukimichi「AMV」Golden (Kpop Demon Hunters),https://www.youtube.com/watch?v=E1FWVNG8Kb0,https://i.ytimg.com/vi/E1FWVNG8Kb0/maxresdefault.jpg,Persyx,"3 Minutes, 13 Seconds",2025-07-20T19:12:39
Teddybears - Punkrocker (feat. Iggy Pop) | Superman Soundtrack,https://www.youtube.com/watch?v=y2oqXCtCiik,https://i.ytimg.com/vi/y2oqXCtCiik/maxresdefault.jpg,Wave Mashup,"4 Minutes, 29 Seconds",2025-07-09T21:35:55
Ed Sheeran - Sapphire (Official Music Video),https://www.youtube.com/watch?v=JgDNFQ2RaLQ,https://i.ytimg.com/vi/JgDNFQ2RaLQ/maxresdefault.jpg,Ed Sheeran,"3 Minutes, 4 Seconds",2025-06-05T18:30:09
Connie Francis - Pretty Little Baby (Lyrics),https://www.youtube.com/watch?v=TVsGvAxJ6a8,https://i.ytimg.com/vi/TVsGvAxJ6a8/maxresdefault.jpg,Vibe Music,"2 Minutes, 23 Seconds",2025-05-15T11:26:54
Connie Francis - Pretty Little Baby | Shania Yan Cover,https://www.youtube.com/watch?v=xrsq1sXuTr0,https://i.ytimg.com/vi/xrsq1sXuTr0/maxresdefault.jpg,Shania Yan,"2 Minutes, 14 Seconds",2025-05-10T12:01:43
PinkPantheress - Illegal (Official Video),https://www.youtube.com/watch?v=TFWXqLSr4ZM,https://i.ytimg.com/vi/TFWXqLSr4ZM/maxresdefault.jpg,Pinkpantheress,"2 Minutes, 33 Seconds",2025-05-09T20:00:51
"Aaj Din Chadheya - Lyrical Video | Saif Ali Khan, Deepika P | Love Aaj Kal | Rahat Fateh Ali Khan",https://www.youtube.com/watch?v=IImcBEHuDRI,https://i.ytimg.com/vi/IImcBEHuDRI/maxresdefault.jpg,Sony Music India,"5 Minutes, 14 Seconds",2025-04-14T10:30:11
"Dooriyan - Lyrical Video | Love Aaj Kal | Saif Ali Khan, Deepika Padukone | Mohit Chauhan | Pritam",https://www.youtube.com/watch?v=kPtn26x8TZM,https://i.ytimg.com/vi/kPtn26x8TZM/maxresdefault.jpg,Sony Music India,"5 Minutes, 38 Seconds",2025-04-11T06:30:19
Ghar Se Nikalte Hi - Full Video Song | Papa Kehte Hain | Udit Narayan | Javed Akhtar | Jugal Hansraj,https://www.youtube.com/watch?v=0NT-xmLX4tk,https://i.ytimg.com/vi/0NT-xmLX4tk/maxresdefault.jpg,T-Series Bollywood Classics,"7 Minutes, 25 Seconds",2025-04-11T04:30:01
"O Mere Dil Ke Chain | Rajesh Khanna, Tanuja | Mere Jeevan Saathi (1972) | R.D Burman | Kishore Kumar",https://www.youtube.com/watch?v=-Px0efU00uQ,https://i.ytimg.com/vi/-Px0efU00uQ/maxresdefault.jpg,Shemaroo Filmi Gaane,"4 Minutes, 28 Seconds",2025-04-03T07:30:17
Chansons d’Amour en Français  💕  Romantic French Love Songs,https://www.youtube.com/watch?v=sHE6aKis69U,https://i.ytimg.com/vi/sHE6aKis69U/maxresdefault.jpg,AI MUSIC PRO,"1 Hours, 52 Minutes, 4 Seconds",2025-03-25T02:55:14
Best Ghazals Of All Time | Jagjit Singh | Gulzer | Javed Akhtar |Jagjit Singh Birthday Special Songs,https://www.youtube.com/watch?v=9vk1ixdPtZM,https://i.ytimg.com/vi/9vk1ixdPtZM/maxresdefault.jpg,Jagjit Singh Ke Ghazals,"1 Hours, 51 Minutes, 14 Seconds",2025-02-08T14:00:15
Tararara song full version || Zhao Lei Our Time,https://www.youtube.com/watch?v=oMrZ68lTC-A,https://i.ytimg.com/vi/oMrZ68lTC-A/maxresdefault.jpg,kill me slowly,"4 Minutes, 43 Seconds",2025-01-11T09:58:50
Ocean Eyes (𝙨𝙡𝙤𝙬𝙚𝙙 + 𝙧𝙚𝙫𝙚𝙧𝙗) ♫ slow version of popular songs - sad songs to listen to when your sad,https://www.youtube.com/watch?v=WegqhgGdTYA,https://i.ytimg.com/vi/WegqhgGdTYA/maxresdefault.jpg,Are You Ok?,"2 Hours, 46 Minutes, 10 Seconds",2025-01-04T23:00:28
Tonight You Belong to Me,https://www.youtube.com/watch?v=OQvaFtm4CWE,https://i.ytimg.com/vi/OQvaFtm4CWE/maxresdefault.jpg,Patience and Prudence - Topic,"1 Minutes, 56 Seconds",2024-12-12T10:02:30
yung kai - blue (official music video),https://www.youtube.com/watch?v=IpFX2vq8HKw,https://i.ytimg.com/vi/IpFX2vq8HKw/maxresdefault.jpg,yung kai,"3 Minutes, 42 Seconds",2024-12-12T02:00:06
yung kai - blue (official audio),https://www.youtube.com/watch?v=98zHKN-xSHk,https://i.ytimg.com/vi/98zHKN-xSHk/maxresdefault.jpg,yung kai,"3 Minutes, 35 Seconds",2024-11-15T18:12:41
Full Video: Chuttamalle - Devara | NTR | Janhvi Kapoor | Anirudh | Shilpa Rao | Koratala Siva,https://www.youtube.com/watch?v=GWNrPJyRTcA,https://i.ytimg.com/vi/GWNrPJyRTcA/maxresdefault.jpg,T-Series Telugu,"3 Minutes, 37 Seconds",2024-10-26T12:59:07
Chura Liya Hai Tumne Jo Dil Ko | Lyrical | Zeenat Aman | Asha Bhosle,https://www.youtube.com/watch?v=XuCp0r3vhPQ,https://i.ytimg.com/vi/XuCp0r3vhPQ/maxresdefault.jpg,Old Hindi Songs,"4 Minutes, 59 Seconds",2024-10-25T10:00:38
Gracie Abrams - That’s So True (Official Lyric Video),https://www.youtube.com/watch?v=BDHM8cyJQa8,https://i.ytimg.com/vi/BDHM8cyJQa8/maxresdefault.jpg,GracieAbramsVEVO,"2 Minutes, 47 Seconds",2024-10-18T04:00:14
Clean Bandit - Symphony feat. Zara Larsson,https://www.youtube.com/watch?v=1DxxjGsRWYs,https://i.ytimg.com/vi/1DxxjGsRWYs/maxresdefault.jpg,LatinHype,"3 Minutes, 38 Seconds",2024-10-09T16:26:33
Alex & Sierra - Little Do You Know (Lyrics),https://www.youtube.com/watch?v=O4zyPTo925A,https://i.ytimg.com/vi/O4zyPTo925A/maxresdefault.jpg,Ethereal Music,"3 Minutes, 4 Seconds",2024-10-08T18:27:52
Neend Churayee Meri - Lyrical Video | Ishq 1997 | Aamir Khan | Juhi Chawla | Ajay Devgn | Kajol,https://www.youtube.com/watch?v=gCcGXy_Mv8g,https://i.ytimg.com/vi/gCcGXy_Mv8g/maxresdefault.jpg,Sony Music India,"5 Minutes, 44 Seconds",2024-09-01T05:00:32
Alphaville - Forever Young (Official Video HD),https://www.youtube.com/watch?v=YHRvDo8rUoQ,https://i.ytimg.com/vi/YHRvDo8rUoQ/maxresdefault.jpg,Alphaville (official),"3 Minutes, 42 Seconds",2024-08-10T09:00:06
Alphaville - Forever Young (Official Video HD),https://www.youtube.com/watch?v=YHRvDo8rUoQ,https://i.ytimg.com/vi/YHRvDo8rUoQ/maxresdefault.jpg,Alphaville (official),"3 Minutes, 42 Seconds",2024-08-10T09:00:06
Elliot James Reay - I Think They Call This Love (Official Music Video),https://www.youtube.com/watch?v=e1mOmdykmwI,https://i.ytimg.com/vi/e1mOmdykmwI/maxresdefault.jpg,Elliot James Reay,"3 Minutes, 14 Seconds",2024-07-25T14:00:06
Elliot James Reay - I Think They Call This Love (Official Music Video),https://www.youtube.com/watch?v=e1mOmdykmwI,https://i.ytimg.com/vi/e1mOmdykmwI/maxresdefault.jpg,Elliot James Reay,"3 Minutes, 14 Seconds",2024-07-25T14:00:06
"Haan Ke Haan Song | Maharaj | A Netflix Film | Junaid, Sharvari, Sohail Sen, Monali Thakur, Kausar M",https://www.youtube.com/watch?v=NDjeeJwI08Q,https://i.ytimg.com/vi/NDjeeJwI08Q/maxresdefault.jpg,YRF,"3 Minutes, 11 Seconds",2024-07-03T07:30:15
Hozier - Too Sweet (Official Video),https://www.youtube.com/watch?v=NTpbbQUBbuo,https://i.ytimg.com/vi/NTpbbQUBbuo/maxresdefault.jpg,HozierVEVO,"4 Minutes, 9 Seconds",2024-05-10T18:00:08
