Title,Video url,Thumbnail url,Channel name,Duration
ASMR Invisible Measuring 🫧👻,https://www.youtube.com/watch?v=l4odenJBa98,https://i.ytimg.com/vi/l4odenJBa98/maxresdefault.jpg,Luna Bloom ASMR,"15 Minutes, 51 Seconds"
"Hindi ASMR | Reiki Healing for Deep Sleep, Anxiety, Stress (plucking, pulling, follow instructions)",https://www.youtube.com/watch?v=2c2B0fmJx3Y,https://i.ytimg.com/vi/2c2B0fmJx3Y/maxresdefault.jpg,IndianGirl ASMR,"33 Minutes, 19 Seconds"
Fast Paced ASMR | Negative Energy Pulling,https://www.youtube.com/watch?v=0OR4ecKMbiI,https://i.ytimg.com/vi/0OR4ecKMbiI/maxresdefault.jpg,Luna Bloom ASMR,"10 Minutes, 50 Seconds"
ASMR Put Your Phone Down And Do What I Say 🖤,https://www.youtube.com/watch?v=UFexH80E5fU,https://i.ytimg.com/vi/UFexH80E5fU/maxresdefault.jpg,Luna Bloom ASMR,"24 Minutes, 11 Seconds"
ASMR Sleep Yoga With Glow: To Make You Sleepy 🌙,https://www.youtube.com/watch?v=z95ml7z2Rtg,https://i.ytimg.com/vi/z95ml7z2Rtg/maxresdefault.jpg,ASMR Glow,"34 Minutes, 35 Seconds"
ASMR gloves | Clearing up your energy with my Latex gloves | leather gloves | Satin gloves,https://www.youtube.com/watch?v=-Ms8rgnOSmE,https://i.ytimg.com/vi/-Ms8rgnOSmE/maxresdefault.jpg,DJ MEOWY ASMR,"33 Minutes, 19 Seconds"
Adding Texture to Acrylic Painting 💜 Soft Spoken ASMR Art Tutorial,https://www.youtube.com/watch?v=A3bqMV8jW3s,https://i.ytimg.com/vi/A3bqMV8jW3s/maxresdefault.jpg,Quiet Creative ASMR,"2 Hours, 38 Minutes, 58 Seconds"
British ASMR| Mummy’s Gentle Face Brushing Pamper Session,https://www.youtube.com/watch?v=HEiszWtWcI0,https://i.ytimg.com/vi/HEiszWtWcI0/sddefault.jpg,Whispered Worlds,"16 Minutes, 43 Seconds"
"Indian Barber Shop ASMR - Binaural Beard & Haircut, Beard & Head Massage! Real Life Sleep Experience",https://www.youtube.com/watch?v=Nl6LiBp9FpU,https://i.ytimg.com/vi/Nl6LiBp9FpU/maxresdefault.jpg,IndianGirl ASMR,"34 Minutes, 26 Seconds"
ASMR in Real Life,https://www.youtube.com/watch?v=vEJ6pr8l6Zs,https://i.ytimg.com/vi/vEJ6pr8l6Zs/maxresdefault.jpg,Emma's Myspace,"17 Minutes, 35 Seconds"
ASMR 👀 Fast & Aggressive Peripheral Triggers (Visuals),https://www.youtube.com/watch?v=hZnCu7LWE4o,https://i.ytimg.com/vi/hZnCu7LWE4o/maxresdefault.jpg,FruityPatchouli ASMR,"38 Minutes, 33 Seconds"
ASMR Negative Energy Plucking & Clipping,https://www.youtube.com/watch?v=x9Cv4hNkWmA,https://i.ytimg.com/vi/x9Cv4hNkWmA/maxresdefault.jpg,Nasia ASMR,"18 Minutes, 5 Seconds"
Eyes Closed ASMR Cranial Nerve Exam 🩺,https://www.youtube.com/watch?v=dSg0TY6PzIg,https://i.ytimg.com/vi/dSg0TY6PzIg/maxresdefault.jpg,ASMR Rebecca,"14 Minutes, 1 Seconds"
"✨Remove Dark Entities, Bad Luck, Energy Parasites & Negative Influences Reiki Energy Meditation",https://www.youtube.com/watch?v=Q3An9z_rhJg,https://i.ytimg.com/vi/Q3An9z_rhJg/maxresdefault.jpg,Alchemy Healing,"15 Minutes, 7 Seconds"
Whispers from Heaven (1111 Hz) | 1 hour handpan music | Malte Marten & Lynxk,https://www.youtube.com/watch?v=vnhmqWqs7kI,https://i.ytimg.com/vi/vnhmqWqs7kI/maxresdefault.jpg,Malte Marten Music,"1 Hours, 0 Minutes, 31 Seconds"
1 Hour of Peaceful Ocean Harp Music | Sarah Bhalla,https://www.youtube.com/watch?v=ZnuPTeyvm2c,https://i.ytimg.com/vi/ZnuPTeyvm2c/maxresdefault.jpg,Sarah Bhalla,"1 Hours, 4 Minutes, 43 Seconds"
Study timer/✏️공부 asmr📚/🔥장작타는 소리🔥/☔️빗소리💧/공부 타이머⏱/ 10시간 공부/집중력,https://www.youtube.com/watch?v=YQG95_nzRsY,https://i.ytimg.com/vi/YQG95_nzRsY/maxresdefault.jpg,하자Do,"11 Hours, 40 Minutes, 0 Seconds"
ASMR 细微刺痛，脑内舒压：ASMR新体验~ASMR That Hits Different: Micro-Stinging Edition,https://www.youtube.com/watch?v=tyXZDF1vwww,https://i.ytimg.com/vi/tyXZDF1vwww/maxresdefault.jpg,Kiki ASMR,"27 Minutes, 23 Seconds"
"Sub)💜🤍시험 끝났어요? 힐링하러오세요🤍💜,음료제조영상,ASMR,최블리,팔공티,cafe vlog",https://www.youtube.com/watch?v=v0e-Y_A9LyQ,https://i.ytimg.com/vi/v0e-Y_A9LyQ/sddefault.jpg,최블리choively,"10 Minutes, 56 Seconds"
"Background ASMR For Studying, Gaming, Relaxing, Etc (NO TALKING, Fast Tapping, Mic Triggers, +)",https://www.youtube.com/watch?v=GxjExweRJHc,https://i.ytimg.com/vi/GxjExweRJHc/maxresdefault.jpg,Jules ASMR,"17 Minutes, 42 Seconds"
ASMR aliviando sua ansiedade com sussurros positivos e calmantes [100% estéreo] 🍂 4K,https://www.youtube.com/watch?v=20Gg7BSxB4w,https://i.ytimg.com/vi/20Gg7BSxB4w/maxresdefault.jpg,Mirys ASMR,"21 Minutes, 44 Seconds"
