Title,Video url,Thumbnail url,Channel name,Duration,Uploaded Time
"🌤️3-HOUR STUDY WITH ME |🎹Calm Piano | Pomodoro 50-10, Soft Music for Studying, Working",https://www.youtube.com/watch?v=XvKqzE0u29Q,https://i.ytimg.com/vi/XvKqzE0u29Q/maxresdefault.jpg,Carrot TD,"2 Hours, 52 Minutes, 48 Seconds",2025-10-19T10:00:07
Valley of Dreams - Beautiful Medieval Fantasy Music & Ambience,https://www.youtube.com/watch?v=e5pGt1-Wy04,https://i.ytimg.com/vi/e5pGt1-Wy04/maxresdefault.jpg,Olde World Melodies,"1 Hours, 40 Minutes, 3 Seconds",2025-08-28T19:06:52
【鋼琴與森林白噪音】 2小時放鬆音樂 | 2-Hour Peaceful Piano & Forest White Noise |,https://www.youtube.com/watch?v=_u95mLIAxvg,https://i.ytimg.com/vi/_u95mLIAxvg/maxresdefault.jpg,The Healing Whisper,"2 Hours, 1 Minutes, 0 Seconds",2025-08-25T02:00:06
"2-HOUR STUDY WITH ME | Calm Piano 🎹, Fire Crackle🔥 | Pomodoro 50-10 | Late night🌙",https://www.youtube.com/watch?v=v8BTIHP-Mys,https://i.ytimg.com/vi/v8BTIHP-Mys/maxresdefault.jpg,Carrot TD,"1 Hours, 52 Minutes, 11 Seconds",2025-05-25T10:00:07
Live Study With Me | 8 hours | Pomodoro 50/10 | Astrophysics PhD Student | rain/lofi | puzzles,https://www.youtube.com/watch?v=PGyg8WrsCTk,https://i.ytimg.com/vi/PGyg8WrsCTk/maxresdefault.jpg,Study with Laura,"8 Hours, 49 Minutes, 5 Seconds",2025-05-23T10:58:50
Live Study With Me | 8 hours | Pomodoro 50/10 | Astrophysics PhD Student | rain/lofi | puzzles,https://www.youtube.com/watch?v=PGyg8WrsCTk,https://i.ytimg.com/vi/PGyg8WrsCTk/maxresdefault.jpg,Study with Laura,"8 Hours, 49 Minutes, 5 Seconds",2025-05-23T10:58:50
"2-HOUR STUDY WITH ME | Ambient ver.🍃, Fire Crackle 🔥 | Pomodoro 50-10 | Sunset🌇 No Music",https://www.youtube.com/watch?v=W4twPwFrCPo,https://i.ytimg.com/vi/W4twPwFrCPo/maxresdefault.jpg,Carrot TD,"1 Hours, 51 Minutes, 30 Seconds",2025-05-16T13:00:08
2-HOUR STUDY WITH ME | Calm Piano 🎹 | Pomodoro 50-10 | Sunset🌇,https://www.youtube.com/watch?v=SR0ikYAMUWE,https://i.ytimg.com/vi/SR0ikYAMUWE/maxresdefault.jpg,Carrot TD,"1 Hours, 51 Minutes, 30 Seconds",2025-05-12T10:00:07
LIVE | 8-HOURS study with me (part.1) 📚⛈️ rain sounds & pomodoro timer 60 & 10,https://www.youtube.com/watch?v=WpvVL3BQ_VE,https://i.ytimg.com/vi/WpvVL3BQ_VE/maxresdefault.jpg,Pascal Zoels,"5 Hours, 56 Minutes, 40 Seconds",2025-05-08T17:48:05
"3-HOUR STUDY WITH ME | Calm Piano 🎹, Fire Crackle🔥 | Pomodoro 50-10 | Cozy room at Sunset🌇",https://www.youtube.com/watch?v=5o2SLpSaOuo,https://i.ytimg.com/vi/5o2SLpSaOuo/maxresdefault.jpg,Carrot TD,"2 Hours, 52 Minutes, 21 Seconds",2025-05-05T10:00:07
Study With Me LIVE 📚 15 Hr | Pomodoro 90/15 + Alarm ⏳ | 🌿 Rain & Nature Sound | Day 46/100,https://www.youtube.com/watch?v=jNu8m_EHngc,https://i.ytimg.com/vi/jNu8m_EHngc/maxresdefault.jpg,Twinkle - Study With Me,"11 Hours, 54 Minutes, 58 Seconds",2025-05-01T18:11:38
LIVE | 4-HOURS study with me 📚⛈️ rain sounds & pomodoro timer 60 & 10,https://www.youtube.com/watch?v=zVySqSENooI,https://i.ytimg.com/vi/zVySqSENooI/maxresdefault.jpg,Pascal Zoels,"3 Hours, 44 Minutes, 45 Seconds",2025-05-01T13:07:51
2-HOUR STUDY WITH ME | intensive revision & struggle with me,https://www.youtube.com/watch?v=ZYwLhFY_RVE,https://i.ytimg.com/vi/ZYwLhFY_RVE/maxresdefault.jpg,Perspective,"1 Hours, 51 Minutes, 55 Seconds",2025-04-20T22:43:32
"3-HOUR STUDY WITH ME | Calm Piano 🎹, Fire Crackle 🔥 | Pomodoro 50-10 | Late night 🌙",https://www.youtube.com/watch?v=G3LGVZ17Z3M,https://i.ytimg.com/vi/G3LGVZ17Z3M/maxresdefault.jpg,Carrot TD,"2 Hours, 52 Minutes, 4 Seconds",2025-04-13T10:00:07
🌧️ 3-HOUR STUDY WITH ME on a RAINY NIGHT | Pomodoro 50-10 | Rain Sounds | No Music [ambient ver.],https://www.youtube.com/watch?v=0Xn1GlzdSDs,https://i.ytimg.com/vi/0Xn1GlzdSDs/maxresdefault.jpg,Celine,"2 Hours, 51 Minutes, 44 Seconds",2025-03-18T11:00:01
🌧️ 2-HOUR STUDY WITH ME ON A RAINY DAY | 🎹 Calm Piano | Pomodoro 25/5,https://www.youtube.com/watch?v=jcEKpP_B9qM,https://i.ytimg.com/vi/jcEKpP_B9qM/maxresdefault.jpg,The Hanoi Chamomile,"2 Hours, 1 Minutes, 52 Seconds",2025-02-22T02:30:33
2-HOUR STUDY WITH ME | Calm Piano 🎹| Pomodoro 50-10 | Cloudy Day☁️🌸,https://www.youtube.com/watch?v=eP03zaw425o,https://i.ytimg.com/vi/eP03zaw425o/maxresdefault.jpg,Carrot TD,"1 Hours, 51 Minutes, 58 Seconds",2025-01-26T10:00:06
19時間勉強した日の5時間目【12:10-14:10】study with me,https://www.youtube.com/watch?v=qiY7jcwlzxI,https://i.ytimg.com/vi/qiY7jcwlzxI/maxresdefault.jpg,agumo.,"2 Hours, 0 Minutes, 34 Seconds",2025-01-05T07:40:28
˖°𓇼 draw w/me !! 🪸155K DTIYS ✦ iPad sketching asmr || paperlike screen protector,https://www.youtube.com/watch?v=IiEMK_2rWxY,https://i.ytimg.com/vi/IiEMK_2rWxY/maxresdefault.jpg,blueberrui,"40 Minutes, 42 Seconds",2024-11-27T00:48:00
"Daily Work Space 📚 Deep Focus Lofi for work, study and concentration | lofi hip hop mix",https://www.youtube.com/watch?v=QDpM_cV1baY,https://i.ytimg.com/vi/QDpM_cV1baY/maxresdefault.jpg,Daily LoFi Radio,"11 Hours, 54 Minutes, 56 Seconds",2024-11-19T07:51:45
2.5-Hour Draw With Me ✿ 7-Year Redraw Challenge + Pomodoro Timer 50/10 (Soft Music),https://www.youtube.com/watch?v=R4omO2UD-hg,https://i.ytimg.com/vi/R4omO2UD-hg/maxresdefault.jpg,Riniapple,"2 Hours, 38 Minutes, 24 Seconds",2024-11-16T17:46:49
2-HOUR STUDY & RAIN / ☔ Relaxing Rain White Noise Study 📔 / ASMR No Music / Pomodoro,https://www.youtube.com/watch?v=D-td0OEk0HY,https://i.ytimg.com/vi/D-td0OEk0HY/maxresdefault.jpg,ThisWood_此木,"1 Hours, 56 Minutes, 5 Seconds",2024-11-12T12:00:14
"3-Hour Study With Me 🌅 | Soothing Lofi, Focused 25/5 Pomodoro Sessions & Relaxing Sunset Vibes 🌊",https://www.youtube.com/watch?v=23LxPru2VI0,https://i.ytimg.com/vi/23LxPru2VI0/maxresdefault.jpg,The Sherry Formula,"3 Hours, 2 Minutes, 18 Seconds",2024-11-10T14:30:07
Wabi-Sabi Kyoto  京都 侘寂の庭園,https://www.youtube.com/watch?v=Q4dg19xeu8k,https://i.ytimg.com/vi/Q4dg19xeu8k/maxresdefault.jpg,Harukawa Film Works,"1 Hours, 55 Minutes, 26 Seconds",2024-10-31T12:40:30
"Beautiful Relaxing Music - Stop Overthinking, Stress Relief Music, Sleep Music, Calming Music #242",https://www.youtube.com/watch?v=z-qigE1ym40,https://i.ytimg.com/vi/z-qigE1ym40/maxresdefault.jpg,Inner Peace Look Inside,"3 Hours, 49 Minutes, 59 Seconds",2024-09-28T07:49:43
2.5-HR🌅Pomodoro 25/5 + Crackling Fire🔥Focus With Me🧘🏽& My Cats🐈‍⬛💛🐈 for Study📚 Work✏️ Craft🧶,https://www.youtube.com/watch?v=nqiRcrRfRzI,https://i.ytimg.com/vi/nqiRcrRfRzI/maxresdefault.jpg,Ambient Art,"2 Hours, 31 Minutes, 9 Seconds",2024-09-25T11:00:57
"|2-HOUR STUDY WITH ME|🌼집에서 같이 공부해요! pomodoro 50/10, no music, real sound, real time, countdown",https://www.youtube.com/watch?v=IqhVtdVokMM,https://i.ytimg.com/vi/IqhVtdVokMM/maxresdefault.jpg,HADA,"1 Hours, 50 Minutes, 33 Seconds",2024-09-16T10:00:25
"⛈️ 2-HOUR STUDY WITH ME ON A STORMY DAY | 🎹 Calm Piano, Pomodoro 50/10",https://www.youtube.com/watch?v=eNXPoaD_Tgc,https://i.ytimg.com/vi/eNXPoaD_Tgc/maxresdefault.jpg,The Hanoi Chamomile,"2 Hours, 2 Minutes, 18 Seconds",2024-09-09T02:00:27
2-HOUR STUDY WITH ME 🌆 [Asian Lofi & Creek] 🍁 50-10 Pomodoro,https://www.youtube.com/watch?v=TDK923kDCJQ,https://i.ytimg.com/vi/TDK923kDCJQ/maxresdefault.jpg,PT Study Lounge,"2 Hours, 0 Minutes, 21 Seconds",2024-09-02T15:00:27
9-Hour Draw With Me ✿ Full Webtoon comic page drawing process + Pomodoro Timer 50/10 (Soft Music),https://www.youtube.com/watch?v=uIItGPUBq0M,https://i.ytimg.com/vi/uIItGPUBq0M/maxresdefault.jpg,Riniapple,"9 Hours, 17 Minutes, 8 Seconds",2024-08-05T23:39:25
1.5-HOUR STUDY WITH ME / Window Seat 🍵📝 / Breezy Summer Afternoon🍃/ Piano Playlist / Pomodoro 25-5,https://www.youtube.com/watch?v=IxxK6s3ucdQ,https://i.ytimg.com/vi/IxxK6s3ucdQ/maxresdefault.jpg,ThisWood_此木,"1 Hours, 26 Minutes, 4 Seconds",2024-06-21T15:30:28
Cozy Slow Morning Deep House Music Mix - Chill Relaxing Lounge DJ Set,https://www.youtube.com/watch?v=hd0fcAfgVg4,https://i.ytimg.com/vi/hd0fcAfgVg4/maxresdefault.jpg,Greta Margo,"1 Hours, 6 Minutes, 56 Seconds",2024-06-19T20:51:53
4-HOUR 🌧️ Study With Me • Rain sounds☔+ Lofi bgm • Pomodoro 50-10 • Day131🌳,https://www.youtube.com/watch?v=D4VpVRtbx7w,https://i.ytimg.com/vi/D4VpVRtbx7w/maxresdefault.jpg,Emmalilyn,"4 Hours, 0 Minutes, 55 Seconds",2024-06-13T12:16:23
